,title,company,logo,location
10,Front-End Developer,آریانا شبکه آفاق | Ariyana Soft,https://thumb2.jobinjacdn.com/B0gEyT18dr_Bzs4V4bqbdlUwW-w=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e44e5534-6c67-45a1-85d8-4c8c054588cb/main.jpg,تهران، تهران
11,Front-End Developer,داروگ کلاود | Darvag Cloud,https://thumb2.jobinjacdn.com/D4DTFbilj6mJWs2uQr2S2uOmoGM=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e36c9f5c-4b62-47cd-87ba-e91278009230/main.png,تهران، تهران
12,Front-End Developer,هایمارت | Himart,https://thumb2.jobinjacdn.com/KCwQJmcwtGHVgfQK2c4WKdePzyk=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/9148fe0e-06c8-11e9-9088-d6b790452c1a_030baae6-7005-4635-87bb-8accb9fdd7b3/main.png,تهران، تهران
13,Senior Front-End Developer,ابرادین | Abroadin,https://thumb2.jobinjacdn.com/m0V-lkO3EW6LTRqbHJBb7v5mlxY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/566afe93-419c-4d89-b3b0-12f5ea26a80c/main.jpg,تهران، تهران
14,توسعه‌دهنده Front-End,آرین | Arian,https://thumb2.jobinjacdn.com/J1VMZI_vbKeMn6M3irBcBG4mRJc=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e89ff778-f6f7-4ca5-a8c4-1df15a7e8a05/main.png,تهران، تهران
15,Front-End Developer (قم),عصر پردازش اطلاعات امین | Amin Internet Data Center,https://thumb2.jobinjacdn.com/TkWpz1yaXJ2zgTfUxY0g6c9RHyU=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/a82d05da-73a1-11e8-a636-26a4da5b8340_8bce6c7a-5619-4fa5-8fdf-60af8b07302a/main.png,قم، قم
16,Junior Front-End Developer,وب استار | Webstar,https://thumb2.jobinjacdn.com/bsdSXuwvipavt9jVmdugr15lcZY=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e485382b-d0b8-4f75-93c5-d2a759252389/main.jpg,تهران، تهران
17,Front-End Developer (تبریز),هلدینگ بین المللی G2 | G2,https://thumb2.jobinjacdn.com/ShQiLTj79E9PP_qCPRmGtP-hD6w=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/e4e36fd1-8d59-46fe-87f2-6c4887264780/main.jpg,آذربایجان شرقی، تبریز
18,برنامه‌نویس Front-End,تجارت الکترونیکی فناوران ساویس مرجان | Sawiss Marjan Ecommerce Co,https://thumb2.jobinjacdn.com/q-iUZOxCsUHihnbVOTVBUvin8-I=/fit-in/128x128/filters:strip_exif():fill(transparent):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/a4225d59-5414-46b8-a973-3528153e7c3d/main.png,تهران، تهران
19,برنامه‌نویس Front-End,مهندسین نیکا رایان پویا | Nikarayan,https://thumb2.jobinjacdn.com/sqiuG9vSzaWvQb2E9TphVWp-vo4=/fit-in/128x128/filters:strip_exif():fill(white):quality(100)/https://mstorage2.jobinjacdn.com/other/files/uploads/images/b3ef3808-5cde-11e9-afe2-d6b790452c1a_a8cd2cd2-bbd2-44da-ac9b-22703a542c15/main.jpg,تهران، تهران
